date,close,open,high,low,volume,symbol
20230323,1289.379,1285.2192,1290.8587,1280.2923,1496750.0,000689.SH
20230322,1292.885,1294.4045,1300.743,1288.1366,1316477.0,000689.SH
20230321,1288.936,1275.0577,1289.2324,1269.6445,1248938.0,000689.SH
20230320,1274.8077,1268.1015,1281.3704,1253.6303,1576613.0,000689.SH
20230317,1272.2065,1283.1363,1287.4349,1266.8392,1439700.0,000689.SH
20230316,1274.5547,1289.9963,1300.3465,1272.1097,1233164.0,000689.SH
20230315,1298.2708,1303.5702,1323.6036,1295.8997,1491862.0,000689.SH
20230314,1298.236,1289.3899,1302.3258,1273.7739,1815476.0,000689.SH
20230313,1290.22,1304.1477,1307.3774,1279.5598,1339805.0,000689.SH
20230310,1308.9325,1308.549,1320.2595,1293.2897,1497773.0,000689.SH
20230309,1315.2929,1319.0629,1330.6534,1313.6082,1188345.0,000689.SH
20230308,1309.6336,1305.8436,1313.6855,1300.2423,757373.0,000689.SH
20230307,1309.6436,1334.9137,1335.2863,1309.487,883325.0,000689.SH
20230306,1335.8331,1321.322,1338.424,1309.9464,1018818.0,000689.SH
20230303,1320.3633,1321.3132,1327.1022,1312.8467,924148.0,000689.SH
20230302,1318.8056,1342.7823,1343.617,1317.1115,1043562.0,000689.SH
20230301,1342.1642,1337.0397,1342.6048,1330.348,898552.0,000689.SH
20230228,1336.7553,1334.3411,1336.7553,1324.5357,977545.0,000689.SH
20230227,1332.6955,1341.0585,1350.4486,1328.8119,950702.0,000689.SH
20230224,1342.9795,1356.3468,1357.7505,1340.5631,782147.0,000689.SH
20230223,1354.4951,1348.6571,1359.6606,1346.3412,860062.0,000689.SH
20230222,1348.4026,1347.3914,1354.4563,1344.5146,801446.0,000689.SH
20230221,1354.746,1356.0385,1363.8667,1345.9886,961559.0,000689.SH
20230220,1355.763,1348.5674,1355.763,1330.9109,1057700.0,000689.SH
20230217,1351.7243,1367.0802,1370.9114,1351.4878,986101.0,000689.SH
20230216,1367.6245,1405.6506,1407.234,1360.0832,1465400.0,000689.SH
20230215,1406.656,1414.4855,1419.3356,1401.0812,1036632.0,000689.SH
20230214,1413.5448,1416.4744,1419.8938,1404.6729,1057351.0,000689.SH
20230213,1415.6745,1406.202,1421.2013,1404.3478,1200115.0,000689.SH
20230210,1409.0776,1419.6494,1422.7202,1399.2533,1169219.0,000689.SH
20230209,1423.8962,1395.3124,1423.8962,1389.3185,1217287.0,000689.SH
20230208,1395.9571,1403.3084,1410.049,1394.907,923481.0,000689.SH
20230207,1402.8963,1402.0857,1405.6994,1389.9076,926164.0,000689.SH
20230206,1399.7818,1413.5785,1415.7049,1394.9318,1053181.0,000689.SH
20230203,1416.3093,1424.4662,1427.4404,1397.4323,1134165.0,000689.SH
20230202,1426.4768,1429.138,1438.5975,1421.6872,1329497.0,000689.SH
20230201,1426.1219,1403.5278,1426.1219,1403.5278,1374656.0,000689.SH
20230131,1401.0333,1396.4654,1405.9694,1389.7959,1145340.0,000689.SH
20230130,1401.7524,1402.1966,1414.6331,1399.9029,1612210.0,000689.SH
